BatchID,TestDate,TestParameter,MeasuredValue,SpecLimit,PassFail,Operator
CVC-2024-0335,2024-06-24,Lumen Friction Coefficient,0.227,0.2,Fail,A. Gupta
CVC-2024-0338,2024-07-01,Lumen Friction Coefficient,0.219,0.2,Fail,S. Iyer
CVC-2024-0341,2024-07-08,Lumen Friction Coefficient,0.254,0.2,Fail,S. Iyer
CVC-2024-0344,2024-07-15,Lumen Friction Coefficient,0.197,0.2,Pass,M. Fernandes
CVC-2024-0423,2024-07-15,Tensile Strength (N),17.29,15.0,Pass,M. Fernandes
CVC-2024-0435,2024-07-20,Burst Pressure (psi),33.0,25.0,Pass,S. Iyer
CVC-2024-0347,2024-07-22,Lumen Friction Coefficient,0.232,0.2,Fail,M. Fernandes
CVC-2024-0350,2024-07-29,Lumen Friction Coefficient,0.248,0.2,Fail,M. Fernandes
CVC-2024-0353,2024-08-05,Lumen Friction Coefficient,0.239,0.2,Fail,J. Rao
CVC-2024-0356,2024-08-12,Lumen Friction Coefficient,0.199,0.2,Pass,A. Gupta
CVC-2024-0424,2024-08-15,Tensile Strength (N),16.41,15.0,Pass,P. Nair
CVC-2024-0359,2024-08-19,Lumen Friction Coefficient,0.203,0.2,Fail,M. Fernandes
CVC-2024-0436,2024-08-20,Burst Pressure (psi),31.1,25.0,Pass,P. Nair
CVC-2024-0362,2024-08-26,Lumen Friction Coefficient,0.202,0.2,Fail,A. Gupta
CVC-2024-0365,2024-09-02,Lumen Friction Coefficient,0.224,0.2,Fail,J. Rao
CVC-2024-0368,2024-09-09,Lumen Friction Coefficient,0.251,0.2,Fail,P. Nair
CVC-2024-0425,2024-09-15,Tensile Strength (N),16.79,15.0,Pass,S. Iyer
CVC-2024-0371,2024-09-16,Lumen Friction Coefficient,0.253,0.2,Fail,M. Fernandes
CVC-2024-0437,2024-09-20,Burst Pressure (psi),28.9,25.0,Pass,A. Gupta
CVC-2024-0374,2024-09-23,Lumen Friction Coefficient,0.217,0.2,Fail,M. Fernandes
CVC-2024-0377,2024-09-30,Lumen Friction Coefficient,0.238,0.2,Fail,P. Nair
CVC-2024-0380,2024-10-07,Lumen Friction Coefficient,0.254,0.2,Fail,J. Rao
CVC-2024-0383,2024-10-14,Lumen Friction Coefficient,0.257,0.2,Fail,M. Fernandes
CVC-2024-0426,2024-10-15,Tensile Strength (N),18.17,15.0,Pass,P. Nair
CVC-2024-0438,2024-10-20,Burst Pressure (psi),33.9,25.0,Pass,A. Gupta
CVC-2024-0386,2024-10-21,Lumen Friction Coefficient,0.228,0.2,Fail,J. Rao
CVC-2024-0389,2024-10-28,Lumen Friction Coefficient,0.195,0.2,Pass,M. Fernandes
CVC-2024-0392,2024-11-04,Lumen Friction Coefficient,0.149,0.2,Pass,A. Gupta
CVC-2024-0395,2024-11-11,Lumen Friction Coefficient,0.127,0.2,Pass,A. Gupta
CVC-2024-0427,2024-11-15,Tensile Strength (N),18.02,15.0,Pass,A. Gupta
CVC-2024-0398,2024-11-18,Lumen Friction Coefficient,0.163,0.2,Pass,M. Fernandes
CVC-2024-0439,2024-11-20,Burst Pressure (psi),28.5,25.0,Pass,M. Fernandes
CVC-2024-0401,2024-11-25,Lumen Friction Coefficient,0.111,0.2,Pass,A. Gupta
CVC-2024-0404,2024-12-02,Lumen Friction Coefficient,0.131,0.2,Pass,P. Nair
CVC-2024-0407,2024-12-09,Lumen Friction Coefficient,0.117,0.2,Pass,J. Rao
CVC-2024-0428,2024-12-15,Tensile Strength (N),19.07,15.0,Pass,P. Nair
CVC-2024-0410,2024-12-16,Lumen Friction Coefficient,0.123,0.2,Pass,M. Fernandes
CVC-2024-0440,2024-12-20,Burst Pressure (psi),31.9,25.0,Pass,S. Iyer
CVC-2024-0413,2024-12-23,Lumen Friction Coefficient,0.118,0.2,Pass,S. Iyer
CVC-2024-0416,2024-12-30,Lumen Friction Coefficient,0.134,0.2,Pass,A. Gupta
